Restaurant Name,Address,Ratings,Price,OnlineBooking,Phone,Famous Dishes,,,,,Book Table,Cuisines,,Type
LA DELIZIA,": D. No- 49-54-9/3/2/1, Balayya Sastry Layout, Port Stadium Area, East Gate, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",4.3,200,yes,8886558855,Blueberry,,,,,no,,,
Delicacies," opp. AS Raju Womens College, Sector 10, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",3.9,200,yes,8912538361,Chicken 555 Biryani ,,,,,yes,,,
Swap,"Mvp sector 8 vuda complex shop no.9, opposite TTD kalyanamandapam, Visakhapatnam, Andhra Pradesh 530017",4.2,250,yes,9391041387,Oat meal,,,,,yes,,,
Rajus Kitchen,"Raju's Kitchen, Seethammadhara Road Near Alluri Seetharama Raja Statue, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",4,300,yes,7416444459,Fried Chicken Biryani,,,,,no,,,
Ragugari Logili,"Rajugari Logili, Near Alluri Seetharama Raju Statue, KRM Colony, Maddilapalem, Visakhapatnam, Andhra Pradesh 530013",3.9,400,yes,8008505060,Mixed Pulao Chicken and Prawn,,,,,no, ,,
Hunger Wheelz,"Beside Children's Park 50-117-17, 10/4, 60 Feet Road, North Extension, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",4.2,150,yes,9966969666,Masala Dosa,,,,,no,,,
Swagrama Foods," NH16, A.P.G.O Colony, Sector 2, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",4.3,200,yes,9346120266,Special Kalakand,,,,,no,,,
72 biryanis,"15, Seethammadhara Rd, Gandhi Nagar, P & T Colony, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",3.6,300,yes,9491177272,Chicken Fry Biryani ,,,,,no,,,
Coffee and Kitchen,"Door 50-121-63/A, Seethammadhara, Opposite Bank Of India, Balayya Sastri Layout, Vizag",4.2,200,yes,9652888522,Peri Peri Fries,,,,,yes,,,
The Hungry Hippo Resto Cafe," 50-49-43/A, TPT Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",4,300,yes,7386155457,Cheese Balls,,,,,yes,,,
Biryani Bowl,"D 1-79-6, Plot 175, Sector 3, MVP Colony, Vizag",3.6,400,yes,9550864206,Ghee Dum Biryani,,,,,no,,,
Pizza hut,"Door HIG 2/3, Plot 1-83-13, Peda Waltair, Sector-3, MVP Colony, Vizag",4,300,yes,8638655077,Margherita Pizza,,,,,yes,,,
KFC,"Survey 35 1-83-13, Ground Floor, Plot 2, Sector 3, MVP Double Road, MVP Colony, Vizag",4,200,yes,7794935448,Chicken Chizza,,,,,yes,,,
Domino's Pizza,"10, Opposite Samatha College, Sector 7, MVP Colony, Vizag",4,500,yes,7799976025,The Fiive Chicken Feast Pizza,,,,,yes,,,
Second Innings From Mr.Little Idli,"Plot 126, Sector 10, MVP Double Road, MVP Colony, Vizag",4,100,yes,7396203475,Mysore Bonda,,,,,no,,,
Subway,"D HIG/92-A, Sector 1, MVP Colony, Vizag",4,300,yes,8179100576,Aloo Patty Sandwich,,,,,no,,,
Kelvin Scale Natural Ice Cream,"1-83-22, Plot MIG - 127, Sector-5, MVP Colony, Vizag",4,500,yes,6302542239,Kitkat Ice Cream Cake,,,,,yes,,,
Bandits of Biryani,"50-39-9, TPT Colony, Near Ghanesh Babu Hospital, Seethammadhara, Vizag",4,300,yes,9381860775,Chilli Chicken,,,,,no,,,
Sindhuri Multi Cuisine Restaurant," 28, MVP Main Rd, MVP Sector 3, Sector 3, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",4.2,300,yes,9100910055,Paneer Biryani,,,,,,,,
Amuratham," Mig 98/8, beside ttd kalyana mandala, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",4,400,yes,8686622722,Non Veg Thali for 2,,,,,,,,
Gatox Natural Ice Cream," Sree Sai Plaza 35/13 55-8 HB Colony Road Opp:GVMC Complex Seethammadhara, H B Colony, Visakhapatnam, Andhra Pradesh 530013",4,200,yes,9959794455,Sitaphal Ice Cream,,,,,,,,
5 SPICES,"Mvp sector 8 vuda complex shop no.9,  Visakhapatnam, Andhra Pradesh 530017",4.7,300,yes,7989552848,Butter Masala Dosa,,,,,,,,
