Restaurant Name,Address,Ratings,price,OnlineBooking,Phone,Famous Dishes
Dwarakamaigumagumalu,"Opposite SBI, Priyadarshini Colony, Srinivasa Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh",2,330,YES,8919389465,Sambar
Nawabs," Kommadi Rd junction , Bakkannapalem, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",3,450,YES,9182212256,Noodels
Chikoos," No 18-133/2/11, Ground Floor, 102, 103, Raksha Sri Hari Residency, SBI Colony, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh 530041",3,230,YES,8919389465,Dum Biryani
Abhiruchi,"1, Vizag - Srikakulam Hwy, Anand Nagar, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh 530041",3,560,YES,9182212256,Tandoories
Prince dhaba," NH5 Road, Pothimallayapalem, Near YSR Stadium, Madhurawada, Vizag, Madhurawada",3,150,YES,8991923568,Tikka
Eatsandtreats,"3-13/17/8 Chandrampalem, Srinivasa Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",3,300,YES,9182212256,Chilly chiken
Kukrooko,"D.no -13-45 H.B Colony, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh 530041",3,180,YES,8991923568,Mughlai  Biryani
Teluguruchulu,"Shop No. 110, Surya Complex PM Palem Main Road, Pothinamallayya Palem Rd, Madhurawada, Visakhapatnam, Andhra Pradesh 530014",3,560,YES,9441880943,Vegcurries
Delicious,"Chandrampalem, Srinivasa Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",3,780,YES,9182212256,Mughlai Biryani
Konaseema,"2-127/18/9, 100 Feet Rd, Mithilapuri Colony, It-sez, Road, Visakhapatnam, Andhra Pradesh 530048",4,800,YES,7780253367,Kodi palav
Sri Alkaipuri Family Restaurant," Daba Garden Rd, Saraswathi Jct, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4,410,YES,9133366788,Chicken Noodles
Grillseat," NH5 Road, Pothimallayapalem, Near YSR Stadium, Madhurawada, Vizag, Madhurawada",4,230,YES,7780253367,Kabab
bBarbecue,"3rd Floor, Arena Building, 100 Feet Rd, adjacent to Mango Hero Showroom, Midhilapuri Vuda Colony, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",4,900,YES,7780253367,Kebabs
Jaihind Restaurant,"P77W+PVJ, Allipuram Main Rd, Daba Gardens, Mahaarajupeta, Visakhapatnam, Andhra Pradesh 530020",4,900,NO,8912571819,
Tandoori Treats,"10-1-44/1, VIP Rd, CBM Compound, Opposite IDBI Bank, Siripuram, Visakhapatnam, Andhra Pradesh 530003",4,600,YES,7893479798,"Chicken Fry, Chicken Lollipop, Boneless Chicken Biryani"
Brew 'n' Bistro,"Ground Madhu Dwarapu Garden Building, 102, Dr NTR Beach Rd, near KKR Goutham School, Lawsons Bay Colony, Visakhapatnam, Andhra Pradesh 530017",4,500,YES,9440373839,"Alfredo Chicken Pasta, Bnb Club Veg Sandwich"
Arun's Paradise Restaurant," Shop No. 18, Adarsh Nagar Rd, Ushodaya Junction, Sector 12, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",4,500,YES,9618556363,"Tiffins,Fried Rice,Biryanis"
Spicy Paradise,"Yellamathota Road, Jagadamba Theatre, Yellammagudi Backside, Daba Gardens, Jagadamba Junction, Visakhapatnam, Andhra Pradesh 535002",4,450,YES,4067408400,Chicken Boneless Biryani
Biryani Bowl,"D 1-79-6, Plot 175, Sector 3, MVP Colony, Vizag",4,400,YES,9550864206,Ghee Dum Biryani
72 biryanis,"15, Seethammadhara Rd, Gandhi Nagar, P & T Colony, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",4,300,YES,9491177272,Chicken Fry Biryani 
Kamat Restaurant,"Vuda Complex, Waltair Club Rd, Siripuram, Visakhapatnam, Andhra Pradesh 530003",4,700,YES,9988646999,Butter Masala Dosa & Idli Vada Mix & Onion Uttapam
Hashtag Restro Cafe,"Plot no 171, near Delhi public school,Lawson's bay, Visakhapatnam, Andhra Pradesh 530017",4,600,YES,7569268682,"Coffee,Cappacino,Deserts"
Hotel amaravathi," Amaravati Building Cell Point upstairs, 30-15-110, Daba Garden Rd, Lalitha Colony, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4,510,YES,8916660124,Chicken Fried Rice
Ashoka Restaruant,"30-13-11, Leelamahal Up Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4,480,YES,7947116630, Chicken Kalmi kebab
Cityhert," Chandrampalem, Srinivasa Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",4,460,YES,8991923568,Andhra chicken curry
Orange Restaurant,"House NO 30-14-9, Daba Gardens, Visakhapatnam - 530020 (Saraswathi Park Junction)",4,410,YES,8374455255,
Rajdhani Hotel,"30-12-19, Ranga St, Daba Gardens, Junction, Visakhapatnam, Andhra Pradesh 530020",4,260,NO,9440200330,Non veg platter
Rajuskitchen,"Beside SBI bank,P M Palem, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",4,250,YES,7780253367,Kavujupetta fry
Shree Shyam Restaurant,"30-11-2, first left lane before hdfc bank, Daba Gardens, 530020, 11-2, Lakshmi St, Visakhapatnam, Andhra Pradesh 530020",4,210,YES,,Veg Pulao
Hotel Meghalaya ,"Hotel Meghalaya, Asilametta Junction, Asilmetta, Visakhapatnam - 530003",4,750,YES,6301957214,Jadoh
Real Deepak Punjabi Dhaba,"1st 50-40-20/A Opp Karur Vysya Bank, TPT Colony, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",4,700,YES,8121441199,"Chicken Biryani,Mutton Biryani, Kaju Curry"
Indian Flavours ,"Ladies gate, Jothee Theatre Rd, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",4,510,YES,9676224488,Chicken Fry Biryani
Rajus Kitchen," No 9-17-21, GM Mansion, CBM Compound, Opposite Road To Bethany School, VIP Rd, Visakhapatnam, Andhra Pradesh 530003",4,510,YES,7416444459,Chicken Fry Biryani With Chicken Lollipop
Hungry Hippo Resto Cafe,"50-49-43/A, TPT Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",4,500,YES,,"pizza, lasagna & pasta,grilled chicken & milkshakes."
Bombay Restaurant,"31-32-75 Gantasala Marg Ladies Gate, Beside, Jothee Theatre Rd, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",4,450,YES,8912562222,"Bombay Special Mixed Biryani, Chicken Malai Kebab"
Sai Krishna Paradise," Lalitha Colony, Nehru Nagar, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",4,410,NO,,BBQ Grill Chicken
Paradise Biryani,"9-14-1, VIP Rd, Sector 4, BM Compound, Siripuram, Visakhapatnam, Andhra Pradesh 530003",4,410,YES,9110391524,Dum Biryani
Santhosh Dhaba,"30-9-1, Sharda Street, Daba Garden Rd, beside Center Point Hotel, Visakhapatnam, Andhra Pradesh 530020",4,400,YES,8639689258,Veg Biryani
Rajasthani Dhaba,"31, 33, Leelamahal Up Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4,300,NO,9966942419,Dal Makhani
Bombay Restaurant,"31-32-75 Gantasala Marg Ladies Gate, Beside, Jothee Theatre Rd, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",4,810,YES,8912562222,Chicken Biryani
Gismat Arabic Restaurant,"RK, 1st Floor Gismat Arabic Restaurant, Lawson's Bay Coloney, Dr NTR Beach Rd, Visakhapatnam, Andhra Pradesh 530017",4,800,YES,8367657585,Chicken Mandi
Collection O Rr Grand,"LIC Building, Jail Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4,610,NO,1246201530, Chicken Kalmi kebab
Six Degrees,"1-83-29, MVP Double Rd, MVP Sector 7, Sector 4, Sector 5, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",4,600,YES,,"Special Mushroom Biryani, Risotto Al Forno, Risotto Funghi E Zafferano"
Bandits Of Biryani-B. O. B," 50-39-9, near ganesh babu hospital, adjacent lane, TPT Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",4,500,YES,9381860775,"Chicken Dum Biryani,Mughali Biryani"
The Red Box,"MVP Double Rd, MVP Sector 7, Sector 4, Sector 5, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",4,450,YES,9848881198,"Momos,Chinese Noodles"
Ganapathi Restaurant,"31-32-74, Beside Jothee Theatre Ladies Gate, behind Dolphin hotel, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",4,410,YES,9347162019,Jain Food
Ragugari Logili,"Rajugari Logili, Near Alluri Seetharama Raju Statue, KRM Colony, Maddilapalem, Visakhapatnam, Andhra Pradesh 530013",4,400,YES,8008505060,Mixed Pulao Chicken and Prawn
Manasa Restaruant,"Near Sangeet & Geeth Theatre, Daba Gardens,Allipuram Main Rd, Visakhapatnam, Andhra Pradesh 530020",4,310,YES,7942685410,Tandoori Chicken
Fry Bucket Biryani,"Shop No 5, Junction, beside MuraliKrishna Temple, near Isukathota, Maddilapalem, Visakhapatnam, Andhra Pradesh 530022",4,300,YES,,Bucket Dum or Fry piece biryani's
