Restaurant Name,Address,Ratings,price,OnlineBooking,Phone,Famous Dishes
Arabian knights,"3rd floor, Opp Bata showroom, above Aptronix, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4,510,YES,098569 93993,Ginger Prawns
Santhosh Dhaba,"30-9-1, Sharda Street, Daba Garden Rd, beside Center Point Hotel, Visakhapatnam, Andhra Pradesh 530020",3.8,400,YES,086396 89258,Veg Biryani
Collection O Rr Grand,"LIC Building, Jail Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.9,610,NO,0124 620 1530, Chicken Kalmi kebab
Rajdhani Hotel,"30-12-19, Ranga St, Daba Gardens, Junction, Visakhapatnam, Andhra Pradesh 530020",3.7,260,NO,094402 00330,Non veg platter
Bombay Restaurant,"31-32-75 Gantasala Marg Ladies Gate, Beside, Jothee Theatre Rd, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",3.9,810,YES,089125 62222,Chicken Biryani
Shree Shyam Restaurant,"30-11-2, first left lane before hdfc bank, Daba Gardens, 530020, 11-2, Lakshmi St, Visakhapatnam, Andhra Pradesh 530020",3.7,210,YES,_,Veg Pulao
Horizon Restaurant,"7th floor, Dolphin hotel, 75 Feet Road, Daba Garden Rd, Dolphin Area, Visakhapatnam, Andhra Pradesh 530020",4.5,"1,100.00",NO,0891 662 2444,_
Ganapathi Restaurant,"31-32-74, Beside Jothee Theatre Ladies Gate, behind Dolphin hotel, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",3.9,410,YES,093471 62019,Jain Food
Hotel amaravathi," Amaravati Building Cell Point upstairs, 30-15-110, Daba Garden Rd, Lalitha Colony, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.7,510,YES,0891 666 0124,Chicken Fried Rice
Spicy Paradise,"Yellamathota Road, Jagadamba Theatre, Yellammagudi Backside, Daba Gardens, Jagadamba Junction, Visakhapatnam, Andhra Pradesh 535002",3.6,450,YES,040 6740 8400,Chicken Boneless Biryani
Ashoka Restaruant,"30-13-11, Leelamahal Up Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.7,480,YES,7947116630, Chicken Kalmi kebab
Ramayya Veg. Restaurant,"8, Daba Garden Rd, Near Bank Of Baroda, Prakasaraopeta, Daba Gardens, Ram Nagar, Visakhapatnam, Andhra Pradesh 530020",4,250,NO,093476 93112,Meals
Indian Flavours ,"Ladies gate, Jothee Theatre Rd, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",3.8,510,YES,096762 24488,Chicken Fry Biryani
Helapuri Multicuisine ,"Ground Floor, Ravi Plaza, Daba Gardens, Visakhapatnam - 530020 (Opposite Chitralaya Mall , Vizag)",4.1,410,YES,7942685029,Chicken Fried Rice
Cascades Restaurant,"NO, 75 Feet Rd, Dolphin Area, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4.3,"1,100.00",YES,093476 93112,Keema Dosa
Manjeera ,"Leela Plaza, Daba Garden Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4.2,710,NO,7947414395,Grilled Chicken
Sai Krishna Paradise," Lalitha Colony, Nehru Nagar, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",3.8,410,NO,_,BBQ Grill Chicken
Manasa Restaruant,"Near Sangeet & Geeth Theatre, Daba Gardens,Allipuram Main Rd, Visakhapatnam, Andhra Pradesh 530020",3.9,310,YES,7942685410,Tandoori Chicken
Sri Alkaipuri Family Restaurant," Daba Garden Rd, Saraswathi Jct, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.5,410,YES,9133366788,Chicken Noodles
Rajasthani Dhaba,"31, 33, Leelamahal Up Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.8,300,NO,099669 42419,Dal Makhani
K&V Restaurant," P77X+J6F, Unnamed Road, Dolphin Area, Daba Gardens, 104 Area, Visakhapatnam, Andhra Pradesh 530020",4,170,NO,7947416072,Pot Biryani
Orange Restaurant,"House NO 30-14-9, Daba Gardens, Visakhapatnam - 530020 (Saraswathi Park Junction)",3.7,410,YES,083744 55255,_
